Minute,Hour,Day,Req/Min,AvgResponseTime,NumberOfPods
27,6,1,49,0.46,1
28,6,1,71,0.53,1
29,6,1,67,0.38,1
30,6,1,32,1.00,1
31,6,1,52,0.73,1
32,6,1,27,0.84,1
33,6,1,41,0.35,1
34,6,1,39,0.57,1
35,6,1,43,0.35,1
36,6,1,31,0.69,1
37,6,1,38,0.59,1
38,6,1,35,0.58,1
39,6,1,59,0.82,1
40,6,1,62,0.97,1
41,6,1,44,0.32,1
42,6,1,60,0.96,1
43,6,1,60,0.70,1
44,6,1,80,0.51,1
45,6,1,52,0.42,1
46,6,1,80,0.42,1
47,6,1,36,0.59,1
48,6,1,20,0.86,1
49,6,1,71,0.74,1
50,6,1,72,0.31,1
51,6,1,44,0.88,1
52,6,1,55,0.92,1
53,6,1,59,0.75,1
54,6,1,20,0.51,1
55,6,1,79,0.84,1
56,6,1,76,0.74,1
57,6,1,50,0.81,1
58,6,1,30,0.93,1
59,6,1,77,0.75,1
0,7,1,31,0.85,1
1,7,1,69,0.70,1
2,7,1,37,0.88,1
3,7,1,48,0.45,1
4,7,1,28,0.45,1
5,7,1,42,0.87,1
6,7,1,36,0.63,1
7,7,1,54,0.65,1
8,7,1,25,0.77,1
9,7,1,73,0.89,1
10,7,1,79,0.70,1
11,7,1,31,0.64,1
12,7,1,43,0.93,1
13,7,1,38,0.95,1
14,7,1,39,0.96,1
15,7,1,23,0.73,1
16,7,1,65,0.99,1
17,7,1,58,0.58,1
18,7,1,70,0.78,1
19,7,1,78,0.56,1
20,7,1,72,0.71,1
21,7,1,36,0.63,1
22,7,1,26,0.55,1
23,7,1,55,0.34,1
24,7,1,56,0.60,1
25,7,1,71,0.59,1
26,7,1,29,0.68,1
27,7,1,22,0.37,1
28,7,1,24,0.63,1
29,7,1,59,0.90,1
30,7,1,58,1.00,1
31,7,1,30,0.53,1
32,7,1,33,0.64,1
33,7,1,28,0.61,1
34,7,1,52,0.58,1
35,7,1,56,0.34,1
36,7,1,54,0.95,1
37,7,1,44,0.63,1
38,7,1,54,0.78,1
39,7,1,29,0.65,1
40,7,1,37,0.91,1
41,7,1,74,0.62,1
42,7,1,71,0.67,1
43,7,1,57,0.67,1
44,7,1,27,0.79,1
45,7,1,75,0.39,1
46,7,1,50,0.87,1
47,7,1,74,0.60,1
48,7,1,30,0.56,1
49,7,1,52,0.94,1
50,7,1,22,0.73,1
51,7,1,68,0.32,1
52,7,1,31,0.35,1
53,7,1,73,0.77,1
54,7,1,41,0.85,1
55,7,1,61,0.65,1
56,7,1,36,0.42,1
57,7,1,69,0.32,1
58,7,1,68,0.82,1
59,7,1,39,0.50,1
0,8,1,106,0.73,1
1,8,1,186,0.98,2
2,8,1,133,0.40,1
3,8,1,111,0.37,1
4,8,1,103,0.47,1
5,8,1,158,0.86,2
6,8,1,156,0.69,1
7,8,1,196,0.70,2
8,8,1,196,0.55,1
9,8,1,163,0.51,1
10,8,1,151,0.71,1
11,8,1,200,0.81,2
12,8,1,133,0.78,1
13,8,1,127,0.57,1
14,8,1,178,0.57,1
15,8,1,189,0.69,2
16,8,1,106,0.90,1
17,8,1,108,0.90,1
18,8,1,175,0.56,1
19,8,1,141,0.58,1
20,8,1,179,0.99,2
21,8,1,192,0.81,2
22,8,1,128,0.70,1
23,8,1,116,0.76,1
24,8,1,104,0.82,1
25,8,1,107,0.32,1
26,8,1,173,0.35,1
27,8,1,195,0.97,2
28,8,1,195,0.70,2
29,8,1,177,0.37,1
30,8,1,132,0.87,1
31,8,1,111,0.72,1
32,8,1,166,0.91,2
33,8,1,187,0.89,2
34,8,1,173,0.86,2
35,8,1,112,0.43,1
36,8,1,187,0.73,2
37,8,1,143,0.69,1
38,8,1,141,0.53,1
39,8,1,141,0.92,2
40,8,1,176,0.66,1
41,8,1,177,0.42,1
42,8,1,115,0.53,1
43,8,1,158,0.90,2
44,8,1,145,0.64,1
45,8,1,118,0.43,1
46,8,1,167,0.81,2
47,8,1,172,0.90,2
48,8,1,182,0.89,2
49,8,1,191,0.56,1
50,8,1,176,0.71,2
51,8,1,114,0.42,1
52,8,1,122,0.38,1
53,8,1,152,0.58,1
54,8,1,118,0.30,1
55,8,1,141,0.80,1
56,8,1,187,0.67,2
57,8,1,145,0.62,1
58,8,1,169,0.98,2
59,8,1,111,0.32,1
0,9,1,105,0.38,1
1,9,1,134,0.98,2
2,9,1,143,0.87,2
3,9,1,162,0.38,1
4,9,1,162,0.92,2
5,9,1,167,0.85,2
6,9,1,193,0.39,1
7,9,1,115,0.76,1
8,9,1,124,0.99,2
9,9,1,152,0.81,2
10,9,1,139,0.36,1
11,9,1,167,0.81,2
12,9,1,132,0.54,1
13,9,1,166,0.57,1
14,9,1,106,0.47,1
15,9,1,194,0.83,2
16,9,1,123,0.64,1
17,9,1,106,0.31,1
18,9,1,116,0.96,1
19,9,1,157,0.65,1
20,9,1,161,0.74,1
21,9,1,190,0.39,1
22,9,1,183,0.75,2
23,9,1,151,0.61,1
24,9,1,144,0.80,1
25,9,1,134,0.75,1
26,9,1,191,0.59,1
27,9,1,196,0.33,1
28,9,1,182,0.54,1
29,9,1,132,0.64,1
30,9,1,158,0.83,2
31,9,1,102,0.55,1
32,9,1,190,0.64,2
33,9,1,124,0.56,1
34,9,1,182,0.88,2
35,9,1,140,0.62,1
36,9,1,176,0.44,1
37,9,1,105,0.92,1
38,9,1,134,0.44,1
39,9,1,108,0.51,1
40,9,1,143,0.46,1
41,9,1,186,0.77,2
42,9,1,161,0.78,2
43,9,1,169,0.85,2
44,9,1,194,0.61,1
45,9,1,182,0.41,1
46,9,1,120,0.52,1
47,9,1,147,0.67,1
48,9,1,181,0.53,1
49,9,1,108,0.97,1
50,9,1,169,0.61,1
51,9,1,144,0.65,1
52,9,1,120,0.42,1
53,9,1,117,0.64,1
54,9,1,111,0.39,1
55,9,1,115,0.57,1
56,9,1,197,0.96,2
57,9,1,163,0.35,1
58,9,1,138,0.54,1
59,9,1,142,0.68,1
0,10,1,148,0.73,1
1,10,1,160,0.45,1
2,10,1,104,0.64,1
3,10,1,183,0.94,2
4,10,1,190,0.97,2
5,10,1,161,0.65,1
6,10,1,182,0.68,2
7,10,1,129,0.56,1
8,10,1,102,0.85,1
9,10,1,183,0.99,2
10,10,1,156,0.77,2
11,10,1,143,0.55,1
12,10,1,169,0.48,1
13,10,1,158,0.32,1
14,10,1,172,0.95,2
15,10,1,198,0.91,2
16,10,1,174,0.39,1
17,10,1,114,0.72,1
18,10,1,184,0.84,2
19,10,1,153,0.60,1
20,10,1,130,0.40,1
21,10,1,121,0.49,1
22,10,1,158,0.36,1
23,10,1,143,0.55,1
24,10,1,153,0.37,1
25,10,1,130,0.42,1
26,10,1,107,0.89,1
27,10,1,123,0.31,1
28,10,1,154,0.44,1
29,10,1,125,0.78,1
30,10,1,199,0.37,1
31,10,1,168,0.61,1
32,10,1,124,0.79,1
33,10,1,130,0.92,1
34,10,1,184,0.80,2
35,10,1,179,0.65,1
36,10,1,187,0.84,2
37,10,1,116,0.99,1
38,10,1,142,0.87,2
39,10,1,194,0.91,2
40,10,1,146,0.39,1
41,10,1,174,0.45,1
42,10,1,129,0.57,1
43,10,1,167,0.51,1
44,10,1,162,0.87,2
45,10,1,198,0.73,2
46,10,1,172,0.40,1
47,10,1,141,0.99,2
48,10,1,121,0.46,1
49,10,1,132,0.70,1
50,10,1,102,0.40,1
51,10,1,123,0.65,1
52,10,1,161,0.49,1
53,10,1,179,0.40,1
54,10,1,161,0.37,1
55,10,1,159,0.93,2
56,10,1,154,0.39,1
57,10,1,196,0.75,2
58,10,1,171,0.32,1
59,10,1,188,0.45,1
0,11,1,113,0.50,1
1,11,1,105,0.68,1
2,11,1,152,0.82,2
3,11,1,112,0.90,1
4,11,1,131,0.82,1
5,11,1,173,0.99,2
6,11,1,150,0.63,1
7,11,1,174,0.53,1
8,11,1,138,0.30,1
9,11,1,178,0.74,2
10,11,1,191,0.88,2
11,11,1,134,0.32,1
12,11,1,180,0.83,2
13,11,1,101,0.75,1
14,11,1,145,0.59,1
15,11,1,184,0.72,2
16,11,1,101,0.47,1
17,11,1,137,0.70,1
18,11,1,186,0.72,2
19,11,1,119,0.66,1
20,11,1,123,0.50,1
21,11,1,151,0.93,2
22,11,1,121,0.75,1
23,11,1,180,0.87,2
24,11,1,153,0.52,1
25,11,1,141,0.98,2
26,11,1,107,0.93,1
27,11,1,152,0.38,1
28,11,1,101,0.48,1
29,11,1,115,0.95,1
30,11,1,198,0.79,2
31,11,1,118,0.32,1
32,11,1,144,0.91,2
33,11,1,182,0.81,2
34,11,1,101,0.60,1
35,11,1,102,0.68,1
36,11,1,196,0.52,1
37,11,1,195,0.69,2
38,11,1,181,0.35,1
39,11,1,102,0.78,1
40,11,1,162,0.99,2
41,11,1,162,0.92,2
42,11,1,102,0.53,1
43,11,1,154,0.46,1
44,11,1,165,0.68,1
45,11,1,119,0.89,1
46,11,1,168,0.62,1
47,11,1,176,0.80,2
48,11,1,136,0.63,1
49,11,1,187,0.49,1
50,11,1,169,0.78,2
51,11,1,145,0.89,2
52,11,1,197,0.84,2
53,11,1,163,0.56,1
54,11,1,171,0.45,1
55,11,1,141,0.63,1
56,11,1,106,0.87,1
57,11,1,104,0.60,1
58,11,1,124,0.95,1
59,11,1,124,0.68,1
0,12,1,192,0.86,2
1,12,1,123,0.88,1
2,12,1,178,0.38,1
3,12,1,108,0.61,1
4,12,1,142,0.47,1
5,12,1,142,0.93,2
6,12,1,187,0.90,2
7,12,1,108,0.36,1
8,12,1,117,0.60,1
9,12,1,173,0.93,2
10,12,1,173,0.68,1
11,12,1,173,0.50,1
12,12,1,129,0.90,1
13,12,1,198,0.34,1
14,12,1,200,0.38,1
15,12,1,133,0.98,2
16,12,1,175,0.53,1
17,12,1,110,0.95,1
18,12,1,165,0.39,1
19,12,1,148,0.59,1
20,12,1,149,0.77,1
21,12,1,191,0.41,1
22,12,1,131,0.63,1
23,12,1,125,0.61,1
24,12,1,122,0.65,1
25,12,1,185,0.77,2
26,12,1,136,0.97,2
27,12,1,130,0.82,1
28,12,1,105,0.76,1
29,12,1,145,0.67,1
30,12,1,135,0.33,1
31,12,1,135,0.54,1
32,12,1,143,0.30,1
33,12,1,164,0.80,2
34,12,1,177,0.79,2
35,12,1,114,0.59,1
36,12,1,123,0.74,1
37,12,1,176,0.93,2
38,12,1,159,1.00,2
39,12,1,156,0.77,2
40,12,1,170,0.41,1
41,12,1,154,0.45,1
42,12,1,166,0.39,1
43,12,1,109,0.74,1
44,12,1,123,0.50,1
45,12,1,188,0.44,1
46,12,1,140,0.72,1
47,12,1,174,0.69,2
48,12,1,178,0.68,2
49,12,1,116,0.92,1
50,12,1,170,0.36,1
51,12,1,196,0.50,1
52,12,1,109,0.32,1
53,12,1,181,0.43,1
54,12,1,143,0.99,2
55,12,1,171,0.91,2
56,12,1,188,0.43,1
57,12,1,200,0.32,1
58,12,1,177,0.91,2
59,12,1,143,0.62,1
0,13,1,199,0.56,1
1,13,1,104,0.54,1
2,13,1,184,0.82,2
3,13,1,117,0.93,1
4,13,1,175,0.91,2
5,13,1,139,0.39,1
6,13,1,117,0.93,1
7,13,1,151,0.74,1
8,13,1,122,0.52,1
9,13,1,181,0.99,2
10,13,1,109,0.49,1
11,13,1,149,1.00,2
12,13,1,124,0.47,1
13,13,1,113,0.38,1
14,13,1,122,0.64,1
15,13,1,103,0.39,1
16,13,1,127,0.57,1
17,13,1,178,0.79,2
18,13,1,189,0.56,1
19,13,1,109,0.60,1
20,13,1,163,0.74,2
21,13,1,185,0.46,1
22,13,1,117,0.82,1
23,13,1,123,0.32,1
24,13,1,130,0.83,1
25,13,1,114,0.60,1
26,13,1,148,0.38,1
27,13,1,165,0.50,1
28,13,1,139,0.96,2
29,13,1,185,0.92,2
30,13,1,141,0.85,1
31,13,1,195,0.33,1
32,13,1,176,0.70,2
33,13,1,133,0.94,2
34,13,1,107,0.77,1
35,13,1,178,0.76,2
36,13,1,133,0.95,2
37,13,1,195,0.58,1
38,13,1,183,0.68,2
39,13,1,158,0.93,2
40,13,1,135,0.75,1
41,13,1,162,0.51,1
42,13,1,156,0.70,1
43,13,1,193,0.34,1
44,13,1,195,0.81,2
45,13,1,113,0.33,1
46,13,1,185,0.90,2
47,13,1,105,0.73,1
48,13,1,197,0.69,2
49,13,1,116,0.96,1
50,13,1,172,0.43,1
51,13,1,174,0.89,2
52,13,1,107,0.96,1
53,13,1,198,0.91,2
54,13,1,131,0.47,1
55,13,1,195,0.67,2
56,13,1,177,0.36,1
57,13,1,195,0.97,2
58,13,1,148,0.99,2
59,13,1,175,0.30,1
0,14,1,181,0.82,2
1,14,1,151,0.48,1
2,14,1,137,0.47,1
3,14,1,130,0.59,1
4,14,1,128,0.67,1
5,14,1,193,0.82,2
6,14,1,124,0.88,1
7,14,1,150,0.57,1
8,14,1,133,0.71,1
9,14,1,192,0.63,2
10,14,1,115,0.55,1
11,14,1,139,0.99,2
12,14,1,156,0.66,1
13,14,1,153,0.87,2
14,14,1,198,0.89,2
15,14,1,170,0.77,2
16,14,1,153,0.74,1
17,14,1,192,0.80,2
18,14,1,153,0.55,1
19,14,1,180,0.59,1
20,14,1,127,0.71,1
21,14,1,176,0.43,1
22,14,1,172,0.53,1
23,14,1,191,0.82,2
24,14,1,100,0.35,1
25,14,1,194,0.63,2
26,14,1,134,0.45,1
27,14,1,166,0.43,1
28,14,1,194,0.99,2
29,14,1,179,0.97,2
30,14,1,157,0.82,2
31,14,1,191,0.80,2
32,14,1,129,0.32,1
33,14,1,168,0.96,2
34,14,1,126,0.81,1
35,14,1,136,0.51,1
36,14,1,156,0.79,2
37,14,1,135,0.79,1
38,14,1,118,0.36,1
39,14,1,135,0.83,1
40,14,1,130,0.41,1
41,14,1,170,0.73,2
42,14,1,141,0.42,1
43,14,1,165,0.46,1
44,14,1,158,0.85,2
45,14,1,152,0.43,1
46,14,1,145,0.44,1
47,14,1,142,0.70,1
48,14,1,176,0.41,1
49,14,1,164,0.55,1
50,14,1,161,0.83,2
51,14,1,157,0.78,2
52,14,1,146,0.89,2
53,14,1,168,0.31,1
54,14,1,124,0.92,1
55,14,1,136,0.96,2
56,14,1,164,0.50,1
57,14,1,139,0.77,1
58,14,1,149,0.87,2
59,14,1,156,1.00,2
0,15,1,162,0.39,1
1,15,1,152,0.99,2
2,15,1,195,0.80,2
3,15,1,136,0.99,2
4,15,1,122,0.98,1
5,15,1,128,0.43,1
6,15,1,125,0.68,1
7,15,1,117,0.66,1
8,15,1,191,0.34,1
9,15,1,190,0.41,1
10,15,1,122,1.00,2
11,15,1,108,0.71,1
12,15,1,186,0.73,2
13,15,1,185,0.90,2
14,15,1,180,0.54,1
15,15,1,113,0.92,1
16,15,1,168,0.70,1
17,15,1,146,0.70,1
18,15,1,117,0.48,1
19,15,1,149,0.49,1
20,15,1,153,0.67,1
21,15,1,190,0.61,1
22,15,1,141,0.88,2
23,15,1,160,0.85,2
24,15,1,127,0.67,1
25,15,1,164,0.70,1
26,15,1,197,0.79,2
27,15,1,141,0.97,2
28,15,1,113,0.63,1
29,15,1,119,0.35,1
30,15,1,104,0.36,1
31,15,1,153,0.49,1
32,15,1,168,1.00,2
33,15,1,110,0.95,1
34,15,1,112,0.87,1
35,15,1,169,0.75,2
36,15,1,158,0.88,2
37,15,1,154,0.37,1
38,15,1,179,0.56,1
39,15,1,119,0.73,1
40,15,1,119,0.39,1
41,15,1,148,0.90,2
42,15,1,100,0.36,1
43,15,1,110,0.39,1
44,15,1,140,0.83,1
45,15,1,101,0.82,1
46,15,1,176,0.33,1
47,15,1,113,0.60,1
48,15,1,186,0.84,2
49,15,1,160,0.69,1
50,15,1,174,0.55,1
51,15,1,162,0.38,1
52,15,1,113,0.72,1
53,15,1,123,0.79,1
54,15,1,188,0.34,1
55,15,1,188,0.32,1
56,15,1,139,0.30,1
57,15,1,141,0.89,2
58,15,1,183,0.98,2
59,15,1,184,0.53,1
0,16,1,143,0.73,1
1,16,1,177,0.84,2
2,16,1,167,0.81,2
3,16,1,170,0.65,1
4,16,1,161,0.56,1
5,16,1,138,0.32,1
6,16,1,116,0.83,1
7,16,1,180,0.89,2
8,16,1,188,0.41,1
9,16,1,111,0.62,1
10,16,1,129,0.50,1
11,16,1,170,0.90,2
12,16,1,106,0.66,1
13,16,1,194,0.95,2
14,16,1,116,0.84,1
15,16,1,103,0.72,1
16,16,1,163,0.67,1
17,16,1,194,0.88,2
18,16,1,118,0.80,1
19,16,1,174,0.69,2
20,16,1,178,0.58,1
21,16,1,192,0.91,2
22,16,1,173,0.57,1
23,16,1,113,0.35,1
24,16,1,196,0.88,2
25,16,1,119,0.68,1
26,16,1,194,0.39,1
27,16,1,126,0.38,1
28,16,1,170,0.54,1
29,16,1,173,0.64,1
30,16,1,105,0.42,1
31,16,1,114,0.85,1
32,16,1,113,0.72,1
33,16,1,116,0.50,1
34,16,1,143,0.88,2
